Time, FPS
8.79734, 807
8.79864, 807
8.79998, 807
8.80138, 807
8.80259, 807
8.80377, 807
8.80492, 807
8.80611, 807
8.8074, 807
8.80856, 807
8.80972, 807
8.81099, 807
8.81216, 811
8.81392, 811
8.81529, 811
8.81645, 811
8.81764, 811
8.81888, 811
8.82006, 811
8.82149, 811
8.82268, 811
8.82385, 811
8.825, 811
8.82624, 811
8.82746, 811
8.82878, 811
8.83005, 808
8.8313, 808
8.83253, 808
8.83369, 808
8.83502, 808
8.83621, 808
8.83736, 808
8.83864, 808
8.83984, 808
8.84133, 808
8.8428, 808
8.84404, 808
8.84525, 808
8.84647, 808
8.84768, 809
8.84892, 809
8.85019, 809
8.85137, 809
8.85252, 809
8.8537, 809
8.85487, 809
8.8562, 809
8.85737, 809
8.85862, 809
8.8598, 809
8.86105, 809
8.86246, 809
8.86364, 809
8.8648, 810
8.86603, 810
8.86722, 810
8.86839, 810
8.86964, 810
8.87089, 810
8.87205, 810
8.87325, 810
8.87446, 810
8.87564, 810
8.87685, 810
8.87807, 810
8.87924, 810
8.88043, 810
8.88161, 814
8.88285, 814
8.88413, 814
8.88529, 814
8.88648, 814
8.88763, 814
8.88877, 814
8.89019, 814
8.89145, 814
8.89266, 814
8.89383, 814
8.89506, 814
8.89624, 814
8.89746, 814
8.89871, 812
8.89994, 812
8.90121, 812
8.90251, 812
8.90372, 812
8.90509, 812
8.90631, 812
8.9075, 812
8.90865, 812
8.9098, 812
8.91122, 812
8.9125, 812
8.91377, 812
8.91499, 812
8.91613, 814
8.91728, 814
8.91856, 814
8.91972, 814
8.921, 814
8.92227, 814
8.92354, 814
8.92498, 814
8.9262, 814
8.92736, 814
8.92853, 814
8.92968, 814
8.93098, 814
8.93242, 814
8.93363, 814
8.93486, 814
8.93605, 814
8.93725, 814
8.93849, 814
8.93979, 814
8.94112, 814
8.94233, 814
8.94355, 814
8.9447, 814
8.94597, 814
8.94719, 814
8.94833, 814
8.94948, 814
8.95069, 814
8.95193, 814
8.95333, 814
8.95468, 814
8.95592, 814
8.95712, 814
8.95842, 814
8.95996, 814
8.96136, 814
8.96276, 814
8.96399, 814
8.96532, 814
8.96678, 814
8.9682, 810
8.96949, 810
8.97114, 810
8.97247, 810
8.97391, 810
8.97529, 810
8.97657, 810
8.97783, 810
8.97917, 810
8.98054, 810
8.98182, 810
8.98315, 810
8.98453, 810
8.98586, 809
8.98715, 809
8.98861, 809
8.98985, 809
8.99124, 809
8.99249, 809
8.99374, 809
8.99508, 809
8.99627, 809
8.99744, 809
8.99865, 809
8.99982, 809
9.00132, 809
9.00271, 806
9.00401, 806
9.00519, 806
9.00636, 806
9.00759, 806
9.00889, 806
9.01017, 806
9.0114, 806
9.01265, 806
9.01402, 806
9.01535, 806
9.01657, 806
9.01773, 806
9.0189, 806
9.02005, 807
9.02131, 807
9.02262, 807
9.0238, 807
9.02498, 807
9.02625, 807
9.02745, 807
9.02872, 807
9.02992, 807
9.03115, 807
9.03231, 807
9.03354, 807
9.03474, 807
9.03607, 807
9.03725, 806
9.03843, 806
9.03961, 806
9.04094, 806
9.04216, 806
9.04346, 806
9.0447, 806
9.04587, 806
9.04708, 806
9.04826, 806
9.04949, 806
9.05073, 806
9.05197, 806
9.05326, 806
9.0545, 805
9.05575, 805
9.05717, 805
9.05841, 805
9.05963, 805
9.061, 805
9.06234, 805
9.06353, 805
9.06478, 805
9.066, 805
9.06722, 805
9.06844, 805
9.06968, 805
9.07112, 805
9.0724, 804
9.07362, 804
9.07481, 804
9.07597, 804
9.07724, 804
9.07848, 804
9.07965, 804
9.08086, 804
9.08211, 804
9.0833, 804
9.08465, 804
9.08597, 804
9.08723, 804
9.08839, 804
9.08957, 804
9.09078, 804
9.09217, 804
9.09352, 804
9.09479, 804
9.09599, 804
9.09719, 804
9.09872, 804
9.09995, 804
9.10127, 804
9.10252, 804
9.10372, 804
9.10496, 804
9.10623, 804
9.10744, 808
9.1088, 808
9.11002, 808
9.11124, 808
9.11258, 808
9.11378, 808
9.11506, 808
9.11625, 808
9.11741, 808
9.11867, 808
9.12008, 808
9.12144, 808
9.12274, 808
9.12404, 808
9.12523, 811
9.12656, 811
9.12777, 811
9.12895, 811
9.13015, 811
